Symbol,ROE,SE,Net Income,momentum,annualized daily std,factor
WFC,0.0233030841375778,187443000000.0,4368000000.0,-0.04734071660477332,72.66579224258622,-0.0006514855910017727
QCOM,0.3351095871368333,21581000000.0,7232000000.0,0.05215481158201922,298.5405651309298,0.00017469924584334422
TXN,0.3852754926910102,16897000000.0,6510000000.0,0.05471499111634452,138.7590176928868,0.00039431665073793166
GE,0.3304174393785646,28579000000.0,9443000000.0,0.4924077954341029,111.48548480273858,0.004416788394519384
IBM,0.3317560695175341,22613000000.0,7502000000.0,-0.06587287254507555,118.11546536099053,-0.0005576989629914381
AXP,0.2996171598268274,27949000000.0,8374000000.0,0.08867365194113998,250.30741000833137,0.00035425899672002724
BX,-0.0031424800834999,18075214000.0,-56801000.0,0.13800038008947088,210.49732872984256,0.0006555920729359181
ISRG,0.1356467347898457,13397300000.0,1817300000.0,0.15014817979600695,610.2941157309829,0.00024602593393214384
NOW,0.2269271106449921,7628000000.0,1731000000.0,0.3785959465745191,1090.9838811589998,0.0003470224932858954
MS,0.5415274749454901,99982000000.0,54143000000.0,-0.03694776510331583,107.60465396796519,-0.00034336586514478723
NEE,0.1064312821902954,59024000000.0,6282000000.0,-0.12531010457062602,85.78039644703924,-0.0014608244979141872
AMAT,0.4193528656186923,16349000000.0,6856000000.0,0.36435446507608527,301.13845610977046,0.001209923401291768
GS,0.3956545913348445,116905000000.0,46254000000.0,-0.07652607553970213,414.93897507404324,-0.00018442730169188502
SPGI,0.0759317585301837,38100000000.0,2893000000.0,0.08567651717783306,563.2493357247308,0.00015211117305197246
UBER,0.170004731114966,12682000000.0,2156000000.0,0.48514086332886297,84.54500041047724,0.005738256088159435
SYK,0.1702253536277093,18593000000.0,3165000000.0,0.1062646612543756,349.56472738680446,0.0003039913724956305
LMT,1.0124359912216532,6835000000.0,6920000000.0,-0.043962418908357816,539.724790290369,-8.145339939769354e-05
COP,0.222346232675176,49279000000.0,10957000000.0,-0.1078973180579999,219.3062310311413,-0.0004919938551252498
MDT,0.0732410722926546,51665000000.0,3784000000.0,0.030751470861460333,149.4845754131399,0.0002057166819818738
PANW,0.2514870738961336,1748400000.0,439700000.0,0.5648188522601325,242.16122696053475,0.002332408285791274
CB,0.1415427611436466,63691000000.0,9015000000.0,-0.15982609014127133,166.73405908700352,-0.0009585689391624087
ADP,0.972329087230344,3509100000.0,3412000000.0,-0.1079255283139017,285.9583657190137,-0.0003774169293579985
ANET,0.2891403159331431,7219059000.0,2087321000.0,0.4641602076396352,198.1130321840247,0.0023429059790901724
KKR,0.0518232165751907,58378912000.0,3025383000.0,0.09651746899284598,107.37464291003508,0.0008988851220088724
LRCX,0.5494319729233443,8210172000.0,4510931000.0,0.4725884131775299,1185.3535512696972,0.0003986898361854272
DE,0.4639952481038106,21886000000.0,10155000000.0,-0.16484112185435268,594.970521461511,-0.00027705762875348833
CI,0.1158982546223382,46351000000.0,5372000000.0,-0.17990627828646003,511.8317706669189,-0.0003514949414961901
FI,0.0054452378623365,30669000000.0,167000000.0,0.10474233487286719,78.9356914667786,0.0013269325057721165
MDLZ,1.269689064372841,28366000000.0,36016000000.0,0.10917045100322423,46.17012383262958,0.0023645258435731277
SO,0.1092689850958126,35225000000.0,3849000000.0,-0.026845661772142548,70.08474007656504,-0.00038304574922892824
ICE,0.0945474288373536,25786000000.0,2438000000.0,0.027904142775084146,214.86307807008131,0.00012986941742490875
CL,2.565308254963427,957000000.0,2455000000.0,-0.047554770273523804,48.49352514933816,-0.0009806416449840796
WM,0.330046403712297,6896000000.0,2276000000.0,0.046931325159824684,130.59334863736805,0.0003593699499209849
ZTS,0.4675324675324675,5005000000.0,2340000000.0,0.11941030799766628,307.0227289634106,0.0003889298632737285
APH,0.2308787752922328,8426500000.0,1945500000.0,-0.019374260029951424,38.43345683621431,-0.0005040988145436825
CMG,0.4012586347036631,3062207000.0,1228737000.0,0.5132661950678256,38.944611993875974,0.013179389106470915
CME,0.011104088204384,26737900000.0,296900000.0,0.06488215427370872,335.75808291473277,0.00019324078131035144
AON,-3.5417789757412397,-742000000.0,2628000000.0,0.034486650719567115,285.42585601779587,0.00012082525108523078
PYPL,1.4142321029879816,21051000000.0,29771000000.0,-0.188441276152452,444.3043479515147,-0.000424126563292187
CVS,0.1091915026880317,76636000000.0,8368000000.0,-0.2397716776137311,70.78370231136078,-0.0033873853695732406
MMM,-1.4336483155299915,4868000000.0,-6979000000.0,-0.2250867170695958,187.33511143944608,-0.0012015191137426072
USB,0.0978644815405856,55771000000.0,5458000000.0,-0.328049260661742,76.19926549279263,-0.004305149905844838
PNC,0.1104202107897772,51141000000.0,5647000000.0,-0.2529209802784666,262.4606900421244,-0.0009636528054463064
WDAY,-0.065711727842435,5585000000.0,-367000000.0,0.2575049411491271,611.3850251512944,0.0004211829380109604
ECL,0.1725675776120512,8072200000.0,1393000000.0,0.1331587812836976,290.4253756759574,0.00045849568404198165
